,u,x,y
Eprp,130.2327861,116.1398063,58.77689385
Eprpa,118.6992311,103.2515355,58.38888655
Eprpp,137.5680781,125.6777056,55.77329125
MS,44.35239881,-16.5328261,40.97601635
MSa,66.10458258,-53.3687938,38.80520455
MSaa,91.68323892,-83.0720558,38.58729045
MSaaa,104.2212359,-95.1187579,42.42256745
MSaaaa,125.708322,-115.3735804,49.76806815
MSaaaaa,146.8644106,-137.1108008,52.47181685
MSaaaaaa,163.2336058,-153.9340549,54.14607505
MSaaaaap,140.6577356,-130.4378328,52.44934125
MSaaaap,113.3761467,-100.8283782,51.67007495
MSaaaapa,123.4194793,-111.361872,52.99671635
MSaaaapp,93.9267121,-77.677178,52.60320735
MSaaap,80.43072509,-65.4522342,46.60415585
MSaaapa,99.26871501,-85.2942842,50.64009795
MSaaapaa,112.1505113,-100.5762846,49.44831795
MSaaapap,85.81303928,-69.2854169,50.46640055
MSaaapp,71.09047679,-48.8803776,51.46810795
MSaap,50.99558983,-36.1104894,35.82408005
MSaapa,56.33639166,-40.6913511,38.80642035
MSaapaa,63.81432861,-45.2119609,44.90065165
MSaapaaa,70.59013936,-54.5977787,44.60355825
MSaapaap,54.9896806,-29.1861101,46.45423655
MSaapap,44.99012701,-5.2779357,44.54739355
MSaapapa,51.20636113,-23.311534,45.45605835
MSaapapp,44.93554595,4.4666219,44.57600545
MSaapp,41.24906734,12.4169198,39.18205045
MSaappa,46.90957018,12.1414083,45.19746205
MSaappp,54.10465179,33.7960711,42.11594695
MSaapppa,46.23050546,18.457741,42.14694135
MSaapppp,65.57994573,51.7124892,40.08517595
MSap,42.33082935,-27.2199487,32.11792945
MSapa,48.69491247,-36.9657969,31.39009315
MSapaa,74.91777222,-63.0531131,40.26605795
MSapaaa,117.9201467,-110.8831954,39.91541065
MSapaaaa,141.0898665,-134.8349749,41.33755775
MSapaap,83.11723499,-72.8109851,39.88772605
MSapaapp,72.90784939,-59.7974456,41.52757355
MSapap,43.78240631,-20.5851874,38.43451545
MSapapa,68.85642035,-57.6738603,37.38030605
MSapapaa,95.0905372,-87.3799222,37.26037725
MSapapp,47.11175228,-26.05993,39.00908255
MSapp,39.29949791,23.5789137,31.15664665
MSappa,39.85315652,5.3185586,39.31398635
MSappaa,47.5577779,-28.3203675,38.01361985
MSappap,37.66173995,3.8836598,37.27582335
MSappp,52.93068644,35.6830195,38.88448675
MSapppa,35.40821032,-10.1451816,33.66480715
MSapppp,43.8294559,23.2489821,36.90355265
MSp,49.20775013,14.074309,47.01528175
MSpa,51.94848566,-26.0656336,44.79022805
MSpaa,58.2372769,-30.3830698,49.56355005
MSpaaa,83.45500435,-60.7986888,57.05653755
MSpaaaa,126.0792556,-110.4785638,60.61766145
MSpaaaaa,150.1767194,-136.6030416,62.25030395
MSpaaaap,123.1949289,-106.8047093,61.25329355
MSpaaap,96.29224641,-73.1789607,62.45314505
MSpaaapa,111.3100222,-91.4793195,63.26136535
MSpaaapp,87.51556351,-62.5154325,61.08600295
MSpaap,56.04485782,-18.5753425,52.76600065
MSpaapa,86.32768976,-61.1691269,60.79768405
MSpaapaa,107.0354332,-86.2239332,63.28285545
MSpaapap,85.67228909,-56.8171022,63.99462245
MSpap,46.12444881,22.9710604,39.84277395
MSpapa,48.45067417,5.8264888,47.98410065
MSpapaa,56.01269651,-17.9559495,52.94873205
MSpapaaa,65.2271986,-36.7095189,53.81195735
MSpapaap,56.95160009,-10.7442484,55.81756735
MSpapap,55.68715383,17.6187713,52.71606085
MSpapapa,54.65681183,-5.4434931,54.28450235
MSpapapp,57.06954623,19.6248737,53.48271875
MSpapp,71.30701488,54.5588572,45.78578335
MSpappa,61.92286755,34.3756973,51.40127615
MSpappp,77.54645456,56.4013835,53.11403705
MSpp,64.79954961,42.3786137,48.89074085
MSppa,73.14619318,47.6550783,55.38386675
MSppaa,64.53478154,-15.6644471,62.50394835
MSppaaa,116.2566855,-93.4055798,69.10699195
MSppaaaa,134.7563976,-116.3795074,67.81747465
MSppaap,89.49495065,-57.4313593,68.52647825
MSppap,66.19526299,24.8148889,61.26798505
MSppapa,84.00748536,-43.3163787,71.86785995
MSppapaa,107.081561,-76.7734267,74.53305485
MSppapp,74.38164063,-16.0451639,72.51135255
MSppp,95.51598837,83.6204119,46.01682005
MSpppa,69.11621116,39.325878,56.73404355
MSpppaa,69.4645547,-20.2003845,66.36082325
MSpppap,68.75604483,11.4249261,67.70207815
MSpppp,87.54101093,66.553878,56.75290545
MSppppa,74.14582113,-1.2321006,74.02893885
MSppppp,78.46771029,28.7676527,72.88813805
P1,116.9403746,103.2699474,54.68250065
P2,153.2520949,143.845797,52.66889055
P3,163.9779239,156.6450998,48.26383285
P4,118.5241956,111.9273977,38.75540505
